initialize Neural Network.
read test data.
read test label.
data  size :  10000
label size :  10000
--start--
@@ Test Character Recognition @@
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 4
Truth: 6 , --> But predict: 0
Truth: 9 , --> But predict: 8
Truth: 1 , --> But predict: 8
Truth: 5 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 4
Truth: 1 , --> But predict: 8
Truth: 1 , --> But predict: 8
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 8
Truth: 3 , --> But predict: 0
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 8
Truth: 1 , --> But predict: 8
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 6
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 8
Truth: 1 , --> But predict: 8
Truth: 2 , --> But predict: 6
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 8
Truth: 7 , --> But predict: 0
Truth: 1 , --> But predict: 8
Truth: 9 , --> But predict: 8
Truth: 8 , --> But predict: 0
Truth: 7 , --> But predict: 2
Truth: 7 , --> But predict: 0
Truth: 2 , --> But predict: 6
Truth: 2 , --> But predict: 6
Truth: 7 , --> But predict: 2
Truth: 9 , --> But predict: 7
Truth: 3 , --> But predict: 0
Truth: 5 , --> But predict: 8
Truth: 7 , --> But predict: 8
Truth: 5 , --> But predict: 3
Truth: 9 , --> But predict: 4
Truth: 4 , --> But predict: 6
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 8
Truth: 2 , --> But predict: 8
Truth: 4 , --> But predict: 8
Truth: 8 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 7 , --> But predict: 1
Truth: 9 , --> But predict: 8
Truth: 3 , --> But predict: 8
Truth: 2 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 6 , --> But predict: 0
Truth: 2 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 1 , --> But predict: 2
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 5
Truth: 8 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 7 , --> But predict: 0
Truth: 3 , --> But predict: 5
Truth: 2 , --> But predict: 8
Truth: 7 , --> But predict: 3
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 1
Truth: 9 , --> But predict: 7
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 6
Truth: 2 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 8 , --> But predict: 6
Truth: 8 , --> But predict: 6
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 4
Truth: 8 , --> But predict: 0
Truth: 9 , --> But predict: 7
Truth: 5 , --> But predict: 0
Truth: 8 , --> But predict: 0
Truth: 8 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 1 , --> But predict: 8
Truth: 9 , --> But predict: 5
Truth: 5 , --> But predict: 8
Truth: 3 , --> But predict: 0
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 3
Truth: 8 , --> But predict: 6
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 3
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 7 , --> But predict: 2
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 1
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 3 , --> But predict: 0
Truth: 5 , --> But predict: 1
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 1 , --> But predict: 8
Truth: 2 , --> But predict: 8
Truth: 3 , --> But predict: 8
Truth: 4 , --> But predict: 0
Truth: 7 , --> But predict: 2
Truth: 2 , --> But predict: 8
Truth: 5 , --> But predict: 6
Truth: 7 , --> But predict: 2
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 2
Truth: 9 , --> But predict: 4
Truth: 7 , --> But predict: 2
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 7 , --> But predict: 2
Truth: 5 , --> But predict: 4
Truth: 7 , --> But predict: 2
Truth: 2 , --> But predict: 3
Truth: 7 , --> But predict: 2
Truth: 7 , --> But predict: 0
Truth: 1 , --> But predict: 8
Truth: 9 , --> But predict: 7
Truth: 9 , --> But predict: 5
Truth: 1 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 1 , --> But predict: 8
Truth: 7 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 8
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 8
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 8
Truth: 5 , --> But predict: 1
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 7
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 5
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 3
Truth: 2 , --> But predict: 4
Truth: 8 , --> But predict: 3
Truth: 6 , --> But predict: 4
Truth: 2 , --> But predict: 6
Truth: 3 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 6 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 4
Truth: 5 , --> But predict: 0
Truth: 3 , --> But predict: 2
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 6
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 8
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 8
Truth: 7 , --> But predict: 1
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 6
Truth: 5 , --> But predict: 4
Truth: 5 , --> But predict: 1
Truth: 9 , --> But predict: 8
Truth: 3 , --> But predict: 5
Truth: 7 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 8
Truth: 7 , --> But predict: 0
Truth: 0 , --> But predict: 3
Truth: 7 , --> But predict: 2
Truth: 9 , --> But predict: 7
Truth: 5 , --> But predict: 1
Truth: 7 , --> But predict: 0
Truth: 3 , --> But predict: 1
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 2
Truth: 3 , --> But predict: 8
Truth: 6 , --> But predict: 0
Truth: 3 , --> But predict: 8
Truth: 7 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 6 , --> But predict: 0
Truth: 2 , --> But predict: 1
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 6
Truth: 9 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 1
Truth: 4 , --> But predict: 2
Truth: 5 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 4
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 8
Truth: 5 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 8 , --> But predict: 1
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 1
Truth: 2 , --> But predict: 8
Truth: 2 , --> But predict: 7
Truth: 3 , --> But predict: 0
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 1
Truth: 6 , --> But predict: 1
Truth: 2 , --> But predict: 8
Truth: 2 , --> But predict: 8
Truth: 0 , --> But predict: 6
Truth: 5 , --> But predict: 6
Truth: 6 , --> But predict: 0
Truth: 3 , --> But predict: 1
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 8 , --> But predict: 6
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 2 , --> But predict: 0
Truth: 3 , --> But predict: 7
Truth: 2 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 2
Truth: 6 , --> But predict: 0
Truth: 5 , --> But predict: 0
Truth: 3 , --> But predict: 5
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 6 , --> But predict: 0
Truth: 2 , --> But predict: 0
Truth: 8 , --> But predict: 1
Truth: 5 , --> But predict: 3
Truth: 9 , --> But predict: 4
Truth: 3 , --> But predict: 2
Truth: 2 , --> But predict: 0
Truth: 5 , --> But predict: 6
Truth: 3 , --> But predict: 8
Truth: 9 , --> But predict: 4
Truth: 5 , --> But predict: 8

error :  2002 / 10000 ( 20.02 %)
